iter=115 terr=0.07429 serr=0.71838 act=1141248 obj=193880.94032 diff=0.00215
iter=116 terr=0.07371 serr=0.71486 act=1141248 obj=193076.65061 diff=0.00415
iter=117 terr=0.07317 serr=0.71313 act=1141248 obj=191750.15240 diff=0.00687
iter=118 terr=0.07719 serr=0.72410 act=1141248 obj=202912.98776 diff=0.05822
iter=119 terr=0.07293 serr=0.71271 act=1141248 obj=191286.84820 diff=0.05730
iter=120 terr=0.07241 serr=0.71108 act=1141248 obj=190101.96306 diff=0.00619
iter=121 terr=0.07202 serr=0.70993 act=1141248 obj=189389.96436 diff=0.00375
iter=122 terr=0.07184 serr=0.70935 act=1141248 obj=188498.40514 diff=0.00471
iter=123 terr=0.07114 serr=0.70657 act=1141248 obj=187351.50985 diff=0.00608
iter=124 terr=0.07064 serr=0.70416 act=1141248 obj=186029.97825 diff=0.00705
iter=125 terr=0.07002 serr=0.70305 act=1141248 obj=184540.70953 diff=0.00801
iter=126 terr=0.06950 serr=0.70117 act=1141248 obj=183426.34058 diff=0.00604
iter=127 terr=0.06911 serr=0.70211 act=1141248 obj=182008.53280 diff=0.00773
iter=128 terr=0.06817 serr=0.70033 act=1141248 obj=179940.93374 diff=0.01136
iter=129 terr=0.06775 serr=0.69891 act=1141248 obj=178504.41402 diff=0.00798
iter=130 terr=0.06681 serr=0.69639 act=1141248 obj=177177.48525 diff=0.00743
iter=131 terr=0.06631 serr=0.69214 act=1141248 obj=175882.58155 diff=0.00731
iter=132 terr=0.06581 serr=0.68836 act=1141248 obj=175538.31650 diff=0.00196
iter=133 terr=0.06550 serr=0.68726 act=1141248 obj=174270.69208 diff=0.00722
iter=134 terr=0.06546 serr=0.68726 act=1141248 obj=173984.60963 diff=0.00164
iter=135 terr=0.06510 serr=0.68637 act=1141248 obj=172933.19561 diff=0.00604
iter=136 terr=0.06454 serr=0.68343 act=1141248 obj=171340.54260 diff=0.00921
iter=137 terr=0.06537 serr=0.68736 act=1141248 obj=171415.05201 diff=0.00043
iter=138 terr=0.06440 serr=0.68437 act=1141248 obj=170553.36329 diff=0.00503
iter=139 terr=0.06379 serr=0.68064 act=1141248 obj=169380.49567 diff=0.00688
iter=140 terr=0.06337 serr=0.67834 act=1141248 obj=168718.86675 diff=0.00391
iter=141 terr=0.06313 serr=0.67760 act=1141248 obj=168350.03919 diff=0.00219
iter=142 terr=0.06266 serr=0.67534 act=1141248 obj=167992.01490 diff=0.00213
iter=143 terr=0.06239 serr=0.67324 act=1141248 obj=167080.35116 diff=0.00543
iter=144 terr=0.06180 serr=0.67036 act=1141248 obj=165801.05289 diff=0.00766
iter=145 terr=0.06164 serr=0.66863 act=1141248 obj=165084.77503 diff=0.00432
iter=146 terr=0.06134 serr=0.66658 act=1141248 obj=164344.29183 diff=0.00449
iter=147 terr=0.06026 serr=0.66333 act=1141248 obj=162181.87652 diff=0.01316
iter=148 terr=0.06268 serr=0.67566 act=1141248 obj=166431.54979 diff=0.02620
iter=149 terr=0.06029 serr=0.66375 act=1141248 obj=161469.70184 diff=0.02981
iter=150 terr=0.05951 serr=0.66180 act=1141248 obj=160360.64673 diff=0.00687
iter=151 terr=0.05921 serr=0.66186 act=1141248 obj=159874.07766 diff=0.00303
iter=152 terr=0.05888 serr=0.66170 act=1141248 obj=159824.35830 diff=0.00031
